Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.8610752688172042,0.75,0.6804557567015854,0.6031196581196581,0.6075399918225142,0.2668420884603245
DT,0.7703225806451612,0.5673076923076923,0.5501530454247846,0.54505698005698,0.5460816195384928,0.09505324622430633
GBM,0.8737634408602151,0.5,0.671893506011971,0.5737250712250712,0.5771629024668952,0.2368789365021277
KNN,0.8803225806451614,0.625,0.7180577625933577,0.6068732193732194,0.6184666756581456,0.3062244399015223
MLP,0.8576344086021506,0.5,0.4288172043010753,0.5,0.4616433324691037,0.0
NB,0.8119354838709677,0.6153846153846154,0.6963787971287971,0.7703133903133903,0.7059951468410661,0.4561401760088001
RF,0.8576344086021506,0.5,0.5491589861751153,0.5269444444444444,0.5088565850362583,0.09618748125375813
SVM,0.8640860215053763,0.5,0.5316666666666666,0.5225,0.4999412323913231,0.08906748489184835
xGB,0.8836559139784945,0.75,0.7693447746172997,0.6193732193732193,0.6450849258290275,0.35923145114848337
